title,text,subject,date,label,clean_text
" BREAKING: GOP Chairman Grassley Has Had Enough, DEMANDS Trump Jr. Testimony","Donald Trump s White House is in chaos, and they are trying to cover it up. Their Russia problems are mounting by the hour, and they refuse to acknowledge that there are problems surrounding all of this. To them, it s  fake news,  or a  hoax.  However, the facts bear things out differently, and it seems that there are now cracks in the Congressional public leadership.Chuck Grassley (R-Iowa), who heads the Senate Judiciary Committee, is fed up. He is now demanding that Donald Trump, Jr. and former 2016 Trump Campaign Manager Paul Manafort testify before his committee regarding the now infamous shady meeting between Donald Trump and the shady Russian lawyer who promised dirt on 2016 Democratic Presidential nominee Hillary Clinton. In fact, this information is due, well, NOW. This demand sends a few signals to team Trump   most notably that they should not fire Special Counsel Robert Mueller under any circumstances, despite the fact that it seems that this seems to be what Trump s White House is laying the groundwork, so to speak, to do as we speak.Here is the tweet regarding Grassley s warning:Also, anyone who thinks that Senator Grassley and the rest of the Senate are not serious about this only needs to look at the warning that has already been given: Trump Jr. and Manafort will either follow orders, or be served with subpoenas that force them to comply. If they refuse, they will be held in contempt of Congress, which carries with it serious jail time.Even the cruel, craven creatures within the GOP are sick of Donald Trump s corruption and his scandal-ridden White House. They are angry that he staged a hostile takeover of their party, first with birtherism and giving them a permanently racist label all while decimating all efforts that were made to pretend the Republican Party isn t a hotbed of racism, and while turning their worlds upside down, and with it, the nation. It seems that old-timers like Grassley, who are clearly sick of Trump s bullshit, just might be the ones who could save the republic. All they need is a bit of courage.Featured image via Win McNamee/Getty Images",News,"July 21, 2017",Fake,donald trump s white house is in chaos and they are trying to cover it up their russia problems are mounting by the hour and they refuse to acknowledge that there are problems surrounding all of this to them it s fake news or a hoax however the facts bear things out differently and it seems that there are now cracks in the congressional public leadership chuck grassley r iowa who heads the senate judiciary committee is fed up he is now demanding that donald trump jr and former trump campaign manager paul manafort testify before his committee regarding the now infamous shady meeting between donald trump and the shady russian lawyer who promised dirt on democratic presidential nominee hillary clinton in fact this information is due well now this demand sends a few signals to team trump most notably that they should not fire special counsel robert mueller under any circumstances despite the fact that it seems that this seems to be what trump s white house is laying the groundwork so to speak to do as we speak here is the tweet regarding grassley s warning also anyone who thinks that senator grassley and the rest of the senate are not serious about this only needs to look at the warning that has already been given trump jr and manafort will either follow orders or be served with subpoenas that force them to comply if they refuse they will be held in contempt of congress which carries with it serious jail time even the cruel craven creatures within the gop are sick of donald trump s corruption and his scandal ridden white house they are angry that he staged a hostile takeover of their party first with birtherism and giving them a permanently racist label all while decimating all efforts that were made to pretend the republican party isn t a hotbed of racism and while turning their worlds upside down and with it the nation it seems that old timers like grassley who are clearly sick of trump s bullshit just might be the ones who could save the republic all they need is a bit of courage featured image via win mcnamee getty images
 Failed GOP Candidates Remembered In Hilarious Mocking Eulogies (VIDEO),"Now that Donald Trump is the presumptive GOP nominee, it s time to remember all those other candidates who tried so hard to beat him in the race to the White House. After all, how can we forget all the missteps, gaffes, weirdness, and sheer idiocies of such candidates as Jeb Bush, Marco Rubio, John Kasich, Ted Cruz, Ben Carson, and Carly Fiorina?There s a video making the rounds on Twitter that does just that, and eulogizes three of these failed candidates as though they re dead (and the GOP itself might as well be dead at this point anyway). Appropriately titled,  A Eulogy for the GOP,  people make short speeches about each of these candidates.Once past the man who actually says Jeb Bush was qualified to be president, there are fake tears, with journalist and comedienne Francesca Fiorentini saying: Dearly beloved, we re gathered here today to commemorate the candidates that are no longer with us. One man, speaking to an amusing, circus-y rendition of Chopin s Funeral March, remembers Jeb this way: Jeb, we hardly knew ye. It s too bad that your policies couldn t find their way out of the Republican morass. Indeed, it was like Jeb and his policies were invisible sometimes, although many felt that he would win the nomination early on. His best performances often came during debates, when he d get into out-and-out fights with Donald Trump over virtually everything under the sun. He also had a bad habit of defending his brother s actions in Iraq, memorably saying,  As it relates to my brother, there s one thing I know for sure: He kept us safe. Moving on to Marco Rubio, Fiorentini herself says: He was called so many things:  Young, charming, Lil  Marco.' That last nickname is, of course, a reference to Trump s penchant for name-calling. Then, a man speaking Spanish remembers Rubio this way: Marco, why aren t you a normal boy? Another said that his involvement in the Gang of Eight immigration bill killed him as a candidate, to which Fiorentini replies: Some people die of gang violence. He died of Gang of Eight violence. The makers of this video saved the absolute best for last, of course, which is Ben Carson. On our dear Dr. Carson, one of the speakers says: He would gently rock me to sleep with his monotone voice. Carson was especially well known for seemingly being asleep half the time. If we saw his eyes open wide, it was surprising, and likely because he was surprised himself. His voice is soft, his speech is slow, and it really can be hard to stay awake while he s talking. Imagine him giving a State of the Union address!To see the whole video, especially the spectacular ending after Carson s eulogy, watch below:Take a moment to say your g byes to these GOP candidates. ? https://t.co/6O70bl9zV8  AJ+ (@ajplus) May 7, 2016 Featured image via screen capture from embedded video",News,"May 7, 2016",Fake,now that donald trump is the presumptive gop nominee it s time to remember all those other candidates who tried so hard to beat him in the race to the white house after all how can we forget all the missteps gaffes weirdness and sheer idiocies of such candidates as jeb bush marco rubio john kasich ted cruz ben carson and carly fiorina there s a video making the rounds on twitter that does just that and eulogizes three of these failed candidates as though they re dead and the gop itself might as well be dead at this point anyway appropriately titled a eulogy for the gop people make short speeches about each of these candidates once past the man who actually says jeb bush was qualified to be president there are fake tears with journalist and comedienne francesca fiorentini saying dearly beloved we re gathered here today to commemorate the candidates that are no longer with us one man speaking to an amusing circus y rendition of chopin s funeral march remembers jeb this way jeb we hardly knew ye it s too bad that your policies couldn t find their way out of the republican morass indeed it was like jeb and his policies were invisible sometimes although many felt that he would win the nomination early on his best performances often came during debates when he d get into out and out fights with donald trump over virtually everything under the sun he also had a bad habit of defending his brother s actions in iraq memorably saying as it relates to my brother there s one thing i know for sure he kept us safe moving on to marco rubio fiorentini herself says he was called so many things young charming lil marco that last nickname is of course a reference to trump s penchant for name calling then a man speaking spanish remembers rubio this way marco why aren t you a normal boy another said that his involvement in the gang of eight immigration bill killed him as a candidate to which fiorentini replies some people die of gang violence he died of gang of eight violence the makers of this video saved the absolute best for last of course which is ben carson on our dear dr carson one of the speakers says he would gently rock me to sleep with his monotone voice carson was especially well known for seemingly being asleep half the time if we saw his eyes open wide it was surprising and likely because he was surprised himself his voice is soft his speech is slow and it really can be hard to stay awake while he s talking imagine him giving a state of the union address to see the whole video especially the spectacular ending after carson s eulogy watch below take a moment to say your g byes to these gop candidates aj ajplus may featured image via screen capture from embedded video
 Mike Pence’s New DC Neighbors Are HILARIOUSLY Trolling Him For Being A Homophobic Bigot,"Mike Pence is a huge homophobe. He supports ex-gay conversion therapy, opposes hate crimes protections for LGBTQ people, is staunchly against marriage equality, and once said that he believes that same-sex couples will lead to  societal collapse.  To that end, the folks who are being forced to live near the now- vice president-elect near his newly rented house in Washington, DC are none too happy with their new neighbor. However, instead of protesting him with rallies in the streets, they ve decided to troll him instead.The residents in the Chevy Chase neighborhood are hanging large rainbow flags on their homes to send a signal to Mike Pence   that his homophobia is not welcome in their neck of the wood. According to local station WJLA: A respectful message showing, in my case, my disagreement with some of his thinking,  said Ilse Heintzen.The  he  Heintzen is referring to is Vice-President Elect Mike Pence. Pence moved into a house on Heintzen s block where he will stay on-and-off until he moves into the Vice-President s mansion on the grounds of the Naval Observatory next year.Neighbors started hanging the pride flags after the VP-Elect moved in because the LGBTQ community has criticized Pence s policies regarding LGBTQ rights.Here are a couple images of the collective rainbow F-YOU to Pence, via Twitter:#Pride flags sending message to @mike_pence outside temporary #DC home. Neighbors say more are coming. @NewsChannel8 @ABC7News #LGBTQ #LGBT pic.twitter.com/a2bfKfJ0yL  Tim Barber (@ABC7TimBarber) December 1, 2016Residents on NW Washington Street where VP Elect Pence is renting a house are sending him a symbolic message. More residents may hang flags pic.twitter.com/fldYsMoP6i  Suzanne Kennedy (@ABC7Suzanne) November 30, 2016There are more flags to come, too, according to locals. These people are doing a great thing by letting Pence know that his bigotry is not welcome, and that he d best not attempt to display it in their presence. On the other hand, this likely will cause another meltdown from Trump, who will undoubtedly accuse these people of  harassing  Pence for his bigoted views, just as happened with the Hamilton staff.Either way, this signals that there will be absolutely no tolerance for their bigotry, no matter how hard they push. Hopefully, their heads explode on this one before they even take office.Featured image via Chip Somodevilla/Getty Images",News,"December 3, 2016",Fake,mike pence is a huge homophobe he supports ex gay conversion therapy opposes hate crimes protections for lgbtq people is staunchly against marriage equality and once said that he believes that same sex couples will lead to societal collapse to that end the folks who are being forced to live near the now vice president elect near his newly rented house in washington dc are none too happy with their new neighbor however instead of protesting him with rallies in the streets they ve decided to troll him instead the residents in the chevy chase neighborhood are hanging large rainbow flags on their homes to send a signal to mike pence that his homophobia is not welcome in their neck of the wood according to local station wjla a respectful message showing in my case my disagreement with some of his thinking said ilse heintzen the he heintzen is referring to is vice president elect mike pence pence moved into a house on heintzen s block where he will stay on and off until he moves into the vice president s mansion on the grounds of the naval observatory next year neighbors started hanging the pride flags after the vp elect moved in because the lgbtq community has criticized pence s policies regarding lgbtq rights here are a couple images of the collective rainbow f you to pence via twitter pride flags sending message to mike pence outside temporary dc home neighbors say more are coming newschannel abc news lgbtq lgbt pic twitter com a bfkfj yl tim barber abc timbarber december residents on nw washington street where vp elect pence is renting a house are sending him a symbolic message more residents may hang flags pic twitter com fldysmop i suzanne kennedy abc suzanne november there are more flags to come too according to locals these people are doing a great thing by letting pence know that his bigotry is not welcome and that he d best not attempt to display it in their presence on the other hand this likely will cause another meltdown from trump who will undoubtedly accuse these people of harassing pence for his bigoted views just as happened with the hamilton staff either way this signals that there will be absolutely no tolerance for their bigotry no matter how hard they push hopefully their heads explode on this one before they even take office featured image via chip somodevilla getty images
California AG pledges to defend birth control insurance coverage,"SAN FRANCISCO (Reuters) - California Attorney General Xavier Becerra said on Friday he was “prepared to take whatever action it takes” to defend the Obamacare mandate that health insurers provide birth control, now that the Trump administration has moved to circumvent it. The administration’s new contraception exemptions “are another example of the Trump administration trampling on people’s rights, but in this case only women,” Becerra told Reuters.  Becerra and other Democratic attorneys general have filed courtroom challenges to other Trump administration policies involving healthcare, immigration and the environment.  ",politicsNews,"October 6, 2017 ",True,san francisco reuters california attorney general xavier becerra said on friday he was prepared to take whatever action it takes to defend the obamacare mandate that health insurers provide birth control now that the trump administration has moved to circumvent it the administration s new contraception exemptions are another example of the trump administration trampling on people s rights but in this case only women becerra told reuters becerra and other democratic attorneys general have filed courtroom challenges to other trump administration policies involving healthcare immigration and the environment
AZ RANCHERS Living On US-Mexico Border Destroy Nancy Pelosi’s Claim About Trump Being “Weak” For Wanting Border Wall [VIDEO],"Twisted reasoning is all that comes from Pelosi these days especially when in 2006 most prominent Democrats voted to build a barrier at the border.Fred Davis and John Ladd are two Arizona ranchers who were guests on Fox and Friends this morning. As ranchers who are living and making a living on our US-Mexico border, they had a very different story to tell viewers. While laughing at claims made by Democrat House minority leader Nancy Pelosi, Ladd and Davis talked about how ridiculous her claims were and what the benefits of a real wall on our borders would mean to the actual residents living in the nightmare of illegal immigration.John Ladd was asked if he ever invited Pelosi to the border and he responded to Fox and Friends host Steve Doocy by saying,  Yes, but she never responded. ",politics,"Apr 25, 2017",Fake,twisted reasoning is all that comes from pelosi these days especially when in most prominent democrats voted to build a barrier at the border fred davis and john ladd are two arizona ranchers who were guests on fox and friends this morning as ranchers who are living and making a living on our us mexico border they had a very different story to tell viewers while laughing at claims made by democrat house minority leader nancy pelosi ladd and davis talked about how ridiculous her claims were and what the benefits of a real wall on our borders would mean to the actual residents living in the nightmare of illegal immigration john ladd was asked if he ever invited pelosi to the border and he responded to fox and friends host steve doocy by saying yes but she never responded
"As private lawyer, Trump high court pick was friend to business","WASHINGTON (Reuters) - As a lawyer in private practice for a decade, President Donald Trump’s U.S. Supreme Court nominee Neil Gorsuch often fought on behalf of business interests, including efforts to curb securities class action lawsuits, experience that could mould his thinking if he is confirmed as a justice. Gorsuch, a conservative federal appeals court judge from Colorado nominated by wealthy businessman Trump on Tuesday, could turn out to be a friend to business, having represented the U.S. Chamber of Commerce in fending off securities class actions, one of the most hotly contested areas of corporate law. The chamber is the largest U.S. business lobbying group. If confirmed, Gorsuch would be one of the only current justices with extensive experience on business issues in private practice.  Securities class action lawsuits are filed by investors who allege misconduct by a company whose stock price has tanked, hurting investors’ portfolios. These once-common lawsuits now face higher hurdles and are filed less often. Congress passed laws in 1995 and 1998 making it harder to bring securities class actions. Later court rulings, including one in which Gorsuch was involved, clarified the requirements under the laws. From 1995 to 2005, Gorsuch worked at boutique law firm Kellogg, Huber, Hansen, Todd, Evans & Figel in Washington, becoming a partner in 1998. He had a wide range of clients, including individuals and nonprofits, as well as various business interests. While there, he filed two briefs on behalf of the Chamber of Commerce seeking limits to securities class actions. One of Gorsuch’s briefs came in a securities fraud case called Dura Pharmaceuticals v. Broudo. The Supreme Court in 2005 ruled unanimously for the company, but did not issue the kind of broad ruling Gorsuch had sought, said Patrick Coughlin, the lawyer who argued the case on behalf of the investors who sued. Of Gorsuch’s role, Coughlin said representing the Chamber of Commerce is the epitome of corporate defense work for a lawyer. “The chamber had always been against us,” Coughlin said, referring to class action lawyers. “He’d always been on the other side of what we were doing, so it was not surprising he was selected by Trump.” Prior to the ruling, Gorsuch co-wrote an article in the Legal Times trade publication for lawyers in which he described some securities class actions as a “free ride to fast riches” for plaintiffs’ lawyers. He said the Dura case was a chance for the court to “curb frivolous fraud claims” in which plaintiffs cannot prove a stock price drop was caused by misrepresentations by a company. Gorsuch’s background promises to be valuable on the Supreme Court, which hears a significant number of business disputes among the roughly 70 cases considered each annual term.  Businesses have been trying with mixed success to get the Supreme Court to put new curbs on class action litigation beyond the securities context. Class actions can lead to huge jury awards against companies and is harder to defend against than lawsuits brought by individuals. If confirmed by the U.S. Senate in time, Gorsuch could play an immediate role in a major case on whether companies can head off costly class action lawsuits by forcing employees to give up their right to pursue work-related legal claims in court as a group. Paul Bland, executive director of consumer advocacy group Public Justice, said he hoped Gorsuch, if confirmed, would see that “most of what he saw as meritless cases in 2005 have been weeded out, and that the vast majority of the cases that remain raise substantial issues that protect investors.” Chamber of Commerce official Tom Collamore joined Trump at the White House on Wednesday for a meeting with advocacy groups touting Gorsuch’s pick, calling it “a fantastic nomination.” The chamber declined comment on Gorsuch’s work for the group. In a statement issued after the nomination was announced, chamber President Tom Donohue congratulated Trump on the selection. When Democratic President Barack Obama last March nominated appeals court judge Merrick Garland to fill the same vacant seat on the court, there was no press release from the chamber. Senate Republicans refused to act on Garland’s nomination, a move that paved the way for Trump to nominate Gorsuch to replace fellow conservative Antonin Scalia, who died in February 2016. Describing his career in private practice, Gorsuch said in his Senate questionnaire prior to his appointment by Republican President George W. Bush to the Denver-based 10th U.S. Circuit Court of Appeals in 2006 that he was “involved in matters large and small for clients ranging from individuals to nonprofits to corporations,” on such issues as racketeering, securities fraud and antitrust.  His former Washington law firm stressed in a statement that Gorsuch had a “wide variety” of clients and cited a case in which he represented people who had been targeted over payday loans. David Frederick, a lawyer at the firm, called Gorsuch “a dogged, very determined lawyer.” “He’s the kind of lawyer you would want to have representing you,” Frederick said. After leaving the firm, but before becoming a judge, he spent just over a year in Bush’s Justice Department. One of his roles was overseeing antitrust litigation involving the government. ",politicsNews,"February 1, 2017 ",True,washington reuters as a lawyer in private practice for a decade president donald trump s u s supreme court nominee neil gorsuch often fought on behalf of business interests including efforts to curb securities class action lawsuits experience that could mould his thinking if he is confirmed as a justice gorsuch a conservative federal appeals court judge from colorado nominated by wealthy businessman trump on tuesday could turn out to be a friend to business having represented the u s chamber of commerce in fending off securities class actions one of the most hotly contested areas of corporate law the chamber is the largest u s business lobbying group if confirmed gorsuch would be one of the only current justices with extensive experience on business issues in private practice securities class action lawsuits are filed by investors who allege misconduct by a company whose stock price has tanked hurting investors portfolios these once common lawsuits now face higher hurdles and are filed less often congress passed laws in and making it harder to bring securities class actions later court rulings including one in which gorsuch was involved clarified the requirements under the laws from to gorsuch worked at boutique law firm kellogg huber hansen todd evans figel in washington becoming a partner in he had a wide range of clients including individuals and nonprofits as well as various business interests while there he filed two briefs on behalf of the chamber of commerce seeking limits to securities class actions one of gorsuch s briefs came in a securities fraud case called dura pharmaceuticals v broudo the supreme court in ruled unanimously for the company but did not issue the kind of broad ruling gorsuch had sought said patrick coughlin the lawyer who argued the case on behalf of the investors who sued of gorsuch s role coughlin said representing the chamber of commerce is the epitome of corporate defense work for a lawyer the chamber had always been against us coughlin said referring to class action lawyers he d always been on the other side of what we were doing so it was not surprising he was selected by trump prior to the ruling gorsuch co wrote an article in the legal times trade publication for lawyers in which he described some securities class actions as a free ride to fast riches for plaintiffs lawyers he said the dura case was a chance for the court to curb frivolous fraud claims in which plaintiffs cannot prove a stock price drop was caused by misrepresentations by a company gorsuch s background promises to be valuable on the supreme court which hears a significant number of business disputes among the roughly cases considered each annual term businesses have been trying with mixed success to get the supreme court to put new curbs on class action litigation beyond the securities context class actions can lead to huge jury awards against companies and is harder to defend against than lawsuits brought by individuals if confirmed by the u s senate in time gorsuch could play an immediate role in a major case on whether companies can head off costly class action lawsuits by forcing employees to give up their right to pursue work related legal claims in court as a group paul bland executive director of consumer advocacy group public justice said he hoped gorsuch if confirmed would see that most of what he saw as meritless cases in have been weeded out and that the vast majority of the cases that remain raise substantial issues that protect investors chamber of commerce official tom collamore joined trump at the white house on wednesday for a meeting with advocacy groups touting gorsuch s pick calling it a fantastic nomination the chamber declined comment on gorsuch s work for the group in a statement issued after the nomination was announced chamber president tom donohue congratulated trump on the selection when democratic president barack obama last march nominated appeals court judge merrick garland to fill the same vacant seat on the court there was no press release from the chamber senate republicans refused to act on garland s nomination a move that paved the way for trump to nominate gorsuch to replace fellow conservative antonin scalia who died in february describing his career in private practice gorsuch said in his senate questionnaire prior to his appointment by republican president george w bush to the denver based th u s circuit court of appeals in that he was involved in matters large and small for clients ranging from individuals to nonprofits to corporations on such issues as racketeering securities fraud and antitrust his former washington law firm stressed in a statement that gorsuch had a wide variety of clients and cited a case in which he represented people who had been targeted over payday loans david frederick a lawyer at the firm called gorsuch a dogged very determined lawyer he s the kind of lawyer you would want to have representing you frederick said after leaving the firm but before becoming a judge he spent just over a year in bush s justice department one of his roles was overseeing antitrust litigation involving the government
Yemeni Salafist imam killed in Aden: sources,"ADEN (Reuters) - A Salafist imam was shot dead by gunmen early on Saturday in Aden, southern Yemen, witnesses and local officials said, the third killing of a Salafist imam this month. Sheikh Adel Al Shehri, imam of a mosque in Inmaa district west of Aden, was shot while he was heading to the mosque for morning prayers. No one has claimed responsibility for the three killings and no motive has been made clear, but some of the ultra-conservative Salafists back secession for southern Yemen, and have been a major component of the breakaway southern army. A former Aden governor has declared a council that seeks secession for southern Yemen. A referendum on independence would be announced soon, he said. Aden is also dominated by local forces backed by the United Arab Emirates - a key member of the Saudi-led coalition that intervened in Yemen s civil war in 2015 to restore President Abd-Rabbu Mansour Hadi to power but which are hostile toward Islamists. ",worldnews,"October 28, 2017 ",True,aden reuters a salafist imam was shot dead by gunmen early on saturday in aden southern yemen witnesses and local officials said the third killing of a salafist imam this month sheikh adel al shehri imam of a mosque in inmaa district west of aden was shot while he was heading to the mosque for morning prayers no one has claimed responsibility for the three killings and no motive has been made clear but some of the ultra conservative salafists back secession for southern yemen and have been a major component of the breakaway southern army a former aden governor has declared a council that seeks secession for southern yemen a referendum on independence would be announced soon he said aden is also dominated by local forces backed by the united arab emirates a key member of the saudi led coalition that intervened in yemen s civil war in to restore president abd rabbu mansour hadi to power but which are hostile toward islamists
FBI says witnesses in U.S. probe into Malaysia's 1MDB fear for safety,"KUALA LUMPUR (Reuters) - Potential witnesses to the multi-billion dollar scandal at 1Malaysia Development Berhad (1MDB) are afraid to speak with U.S. investigators as they fear for their safety, the Federal Bureau of Investigation says. A total of $4.5 billion was misappropriated from 1MDB by high-level officials of the fund and their associates, according to dozens of civil lawsuits filed by the U.S Justice Department in the past two years. 1MDB is at the center of money-laundering probes in at least six countries, including the United States, Switzerland and Singapore. Malaysian Prime Minister Najib Razak set up 1MDB in 2009 and served as chairman of its advisory board until last year. He has denied any wrongdoing. The Prime Minister s office and 1MDB did not immediately respond to a request for comment on the FBI claims. In a federal court filing in Los Angeles, the FBI requested that the names of its informants in the case be kept secret, after many expressed concerns of retaliation if they were found to have been in contact with the U.S. government. Individuals otherwise willing to provide information on the case have also told investigators that they were afraid that they would  place the safety and security of both themselves and their families at serious risk , according to a declaration in the filing by FBI agent special agent Robert Heuchling. The agent said identifying witnesses could result in intimidation or threaten their safety, citing Malaysian news reports of local officials and politicians who have been arrested for purportedly disclosing information linked to 1MDB. The agent cited Malaysian press reports from Aug 30 that said the driver of former Malaysian Attorney-General Abdul Gani Patail was shot in public as a possible warning against assisting the U.S government in the case. Abdul Gani had led investigations on 1MDB until he was replaced in 2015. Last month, the U.S. Justice Department asked for a stay on its civil lawsuits seeking to seize more than $1 billion in assets allegedly bought with stolen 1MDB funds because it was conducting a related criminal probe. The lawsuits filed by the department allege that the funds were stolen in four phases. The lawsuits say those involved included Malaysian financier Low Taek Jho, also known as Jho Low, Najib s stepson Riza Aziz, and Khadem al Qubaisi, the former managing director of Abu Dhabi s International Petroleum Investment Co. The trusts holding the assets on behalf of Low, Aziz, al Qubaisi and their families have opposed the request to put the civil proceedings on hold. The Low trusts have asked the United States to provide the identities of witnesses, sources of evidence, and thousands of documents that are relevant to the criminal investigation, the FBI said. The Justice Department has sought to seize a total of about $1.7 billion in assets that it said were bought with misappropriated 1MDB funds. The lawsuits also claim that $681 million in 1MDB funds found its way into the personal accounts of so-called Malaysian Official 1, who Malaysian and U.S. officials have identified as Najib. He was cleared of any wrongdoing in a Malaysian investigation. Low did not immediately respond to a request for comment on the FBI filing and he has previously denied any wrongdoing in the 1MDB case, saying that the Justice Department s actions were  a further example of global overreach in pursuit of a deeply flawed case.  ",worldnews,"September 6, 2017 ",True,kuala lumpur reuters potential witnesses to the multi billion dollar scandal at malaysia development berhad mdb are afraid to speak with u s investigators as they fear for their safety the federal bureau of investigation says a total of billion was misappropriated from mdb by high level officials of the fund and their associates according to dozens of civil lawsuits filed by the u s justice department in the past two years mdb is at the center of money laundering probes in at least six countries including the united states switzerland and singapore malaysian prime minister najib razak set up mdb in and served as chairman of its advisory board until last year he has denied any wrongdoing the prime minister s office and mdb did not immediately respond to a request for comment on the fbi claims in a federal court filing in los angeles the fbi requested that the names of its informants in the case be kept secret after many expressed concerns of retaliation if they were found to have been in contact with the u s government individuals otherwise willing to provide information on the case have also told investigators that they were afraid that they would place the safety and security of both themselves and their families at serious risk according to a declaration in the filing by fbi agent special agent robert heuchling the agent said identifying witnesses could result in intimidation or threaten their safety citing malaysian news reports of local officials and politicians who have been arrested for purportedly disclosing information linked to mdb the agent cited malaysian press reports from aug that said the driver of former malaysian attorney general abdul gani patail was shot in public as a possible warning against assisting the u s government in the case abdul gani had led investigations on mdb until he was replaced in last month the u s justice department asked for a stay on its civil lawsuits seeking to seize more than billion in assets allegedly bought with stolen mdb funds because it was conducting a related criminal probe the lawsuits filed by the department allege that the funds were stolen in four phases the lawsuits say those involved included malaysian financier low taek jho also known as jho low najib s stepson riza aziz and khadem al qubaisi the former managing director of abu dhabi s international petroleum investment co the trusts holding the assets on behalf of low aziz al qubaisi and their families have opposed the request to put the civil proceedings on hold the low trusts have asked the united states to provide the identities of witnesses sources of evidence and thousands of documents that are relevant to the criminal investigation the fbi said the justice department has sought to seize a total of about billion in assets that it said were bought with misappropriated mdb funds the lawsuits also claim that million in mdb funds found its way into the personal accounts of so called malaysian official who malaysian and u s officials have identified as najib he was cleared of any wrongdoing in a malaysian investigation low did not immediately respond to a request for comment on the fbi filing and he has previously denied any wrongdoing in the mdb case saying that the justice department s actions were a further example of global overreach in pursuit of a deeply flawed case
An Easy To Read Chart Shows How Bernie Sanders’ Socialism Is Just A Stepping Stone To Communism," The goal of socialism is communism.  -Vladimir Lenin, CommunistFor Bernie Sanders, Socialism is just a good place to start ",politics,"Feb 24, 2016",Fake,the goal of socialism is communism vladimir lenin communistfor bernie sanders socialism is just a good place to start
MMA FIGHTER JAKE SHIELDS Embarrasses Cowards In Masks For Violent 20-on-1 Beating of Trump Supporter [VIDEO]: “I was in Berkeley and watched a man getting beat by a mob with no police help…I was the only person to jump in and help”,"Opposing views and beliefs has much of this country in a heated feud. With Donald Trump being recently inaugurated as the 45th President of the United States of America, citizens have been going to war with one another with their polar points of view.On Wednesday, Milo Yiannopoulos, a strong right-wing social figure, was scheduled to speak at UC Berkeley. However, protests that grew into violence between members of opposing sides broke out causing Yiannopoulos  speech to be canceled.In the midst of the violence being carried out in the area, Jake Shields was present and apparently helped a man from being severely beaten.  BjPennWatch MMA fighter Jason Shields embarrass the cowards with their faces covered who were part of the mob of 20 men from a domestic terror group, that identifies with an anti-fascist movement, severely beating an innocent man attending Milo Yiannopoulos  speech.Following Shield s brave act that could have saved the life of an innocent man being attacked by 20 cowards, one of the  anti-fascists  involved in beating walks up to Shields to ask if he s okay?Shields tells the cowards in the masks:  There s no f*cking reason (to have beaten this man). Dude, you guys have your faces covered, you re attacking people, you re being f**king fascists. Look at you guys. You re f*cking embarrassing. You don t let 20 people jump a man. It s not okay! The coward in the mask answers: There s a f*cking Nazi thing at the University, that why everybody s here. Shields responds:  What Nazi thing? Who s a Nazi? The Jew guy that was speaking? The gay Jew? Coward in mask responds:  He s not a Jew, he s Greek! what exactly did he say? Every kept saying he's a nazi but know knew why. They call everyone with a different opinion a nazi  Jake Shields (@jakeshieldsajj) February 2, 2017The idiocy of these violent people just looking for a fight can pretty much be summed up with that one completely uneducated sentence. These freaks are apparently there protesting a  Nazi,  yet have no idea what a Nazi is or that when you say someone is  Jewish,  you are speaking about their religion and not their nationality.Watch:The aftermath of me helping a guy after being jumped by thugs. The police and 100's of civilians stood and watched. pic.twitter.com/7hN2iJ4kkf  Jake Shields (@jakeshieldsajj) February 2, 2017I was in Berkeley and watched a man getting beat by a mob with no police help. I was the only person to jump in and help  Jake Shields (@jakeshieldsajj) February 2, 2017Shields tweeted,  it was sad to watch 20 people beat a man with no one helping. it was sad to watching 20 people beat a man with no one helping  Jake Shields (@jakeshieldsajj) February 2, 2017",politics,"Feb 4, 2017",Fake,opposing views and beliefs has much of this country in a heated feud with donald trump being recently inaugurated as the th president of the united states of america citizens have been going to war with one another with their polar points of view on wednesday milo yiannopoulos a strong right wing social figure was scheduled to speak at uc berkeley however protests that grew into violence between members of opposing sides broke out causing yiannopoulos speech to be canceled in the midst of the violence being carried out in the area jake shields was present and apparently helped a man from being severely beaten bjpennwatch mma fighter jason shields embarrass the cowards with their faces covered who were part of the mob of men from a domestic terror group that identifies with an anti fascist movement severely beating an innocent man attending milo yiannopoulos speech following shield s brave act that could have saved the life of an innocent man being attacked by cowards one of the anti fascists involved in beating walks up to shields to ask if he s okay shields tells the cowards in the masks there s no f cking reason to have beaten this man dude you guys have your faces covered you re attacking people you re being f king fascists look at you guys you re f cking embarrassing you don t let people jump a man it s not okay the coward in the mask answers there s a f cking nazi thing at the university that why everybody s here shields responds what nazi thing who s a nazi the jew guy that was speaking the gay jew coward in mask responds he s not a jew he s greek what exactly did he say every kept saying he s a nazi but know knew why they call everyone with a different opinion a nazi jake shields jakeshieldsajj february the idiocy of these violent people just looking for a fight can pretty much be summed up with that one completely uneducated sentence these freaks are apparently there protesting a nazi yet have no idea what a nazi is or that when you say someone is jewish you are speaking about their religion and not their nationality watch the aftermath of me helping a guy after being jumped by thugs the police and s of civilians stood and watched pic twitter com hn ij kkf jake shields jakeshieldsajj february i was in berkeley and watched a man getting beat by a mob with no police help i was the only person to jump in and help jake shields jakeshieldsajj february shields tweeted it was sad to watch people beat a man with no one helping it was sad to watching people beat a man with no one helping jake shields jakeshieldsajj february
