title,text,subject,date,label
" BREAKING: GOP Chairman Grassley Has Had Enough, DEMANDS Trump Jr. Testimony","Donald Trump s White House is in chaos, and they are trying to cover it up. Their Russia problems are mounting by the hour, and they refuse to acknowledge that there are problems surrounding all of this. To them, it s  fake news,  or a  hoax.  However, the facts bear things out differently, and it seems that there are now cracks in the Congressional public leadership.Chuck Grassley (R-Iowa), who heads the Senate Judiciary Committee, is fed up. He is now demanding that Donald Trump, Jr. and former 2016 Trump Campaign Manager Paul Manafort testify before his committee regarding the now infamous shady meeting between Donald Trump and the shady Russian lawyer who promised dirt on 2016 Democratic Presidential nominee Hillary Clinton. In fact, this information is due, well, NOW. This demand sends a few signals to team Trump   most notably that they should not fire Special Counsel Robert Mueller under any circumstances, despite the fact that it seems that this seems to be what Trump s White House is laying the groundwork, so to speak, to do as we speak.Here is the tweet regarding Grassley s warning:Also, anyone who thinks that Senator Grassley and the rest of the Senate are not serious about this only needs to look at the warning that has already been given: Trump Jr. and Manafort will either follow orders, or be served with subpoenas that force them to comply. If they refuse, they will be held in contempt of Congress, which carries with it serious jail time.Even the cruel, craven creatures within the GOP are sick of Donald Trump s corruption and his scandal-ridden White House. They are angry that he staged a hostile takeover of their party, first with birtherism and giving them a permanently racist label all while decimating all efforts that were made to pretend the Republican Party isn t a hotbed of racism, and while turning their worlds upside down, and with it, the nation. It seems that old-timers like Grassley, who are clearly sick of Trump s bullshit, just might be the ones who could save the republic. All they need is a bit of courage.Featured image via Win McNamee/Getty Images",News,"July 21, 2017",Fake
 Failed GOP Candidates Remembered In Hilarious Mocking Eulogies (VIDEO),"Now that Donald Trump is the presumptive GOP nominee, it s time to remember all those other candidates who tried so hard to beat him in the race to the White House. After all, how can we forget all the missteps, gaffes, weirdness, and sheer idiocies of such candidates as Jeb Bush, Marco Rubio, John Kasich, Ted Cruz, Ben Carson, and Carly Fiorina?There s a video making the rounds on Twitter that does just that, and eulogizes three of these failed candidates as though they re dead (and the GOP itself might as well be dead at this point anyway). Appropriately titled,  A Eulogy for the GOP,  people make short speeches about each of these candidates.Once past the man who actually says Jeb Bush was qualified to be president, there are fake tears, with journalist and comedienne Francesca Fiorentini saying: Dearly beloved, we re gathered here today to commemorate the candidates that are no longer with us. One man, speaking to an amusing, circus-y rendition of Chopin s Funeral March, remembers Jeb this way: Jeb, we hardly knew ye. It s too bad that your policies couldn t find their way out of the Republican morass. Indeed, it was like Jeb and his policies were invisible sometimes, although many felt that he would win the nomination early on. His best performances often came during debates, when he d get into out-and-out fights with Donald Trump over virtually everything under the sun. He also had a bad habit of defending his brother s actions in Iraq, memorably saying,  As it relates to my brother, there s one thing I know for sure: He kept us safe. Moving on to Marco Rubio, Fiorentini herself says: He was called so many things:  Young, charming, Lil  Marco.' That last nickname is, of course, a reference to Trump s penchant for name-calling. Then, a man speaking Spanish remembers Rubio this way: Marco, why aren t you a normal boy? Another said that his involvement in the Gang of Eight immigration bill killed him as a candidate, to which Fiorentini replies: Some people die of gang violence. He died of Gang of Eight violence. The makers of this video saved the absolute best for last, of course, which is Ben Carson. On our dear Dr. Carson, one of the speakers says: He would gently rock me to sleep with his monotone voice. Carson was especially well known for seemingly being asleep half the time. If we saw his eyes open wide, it was surprising, and likely because he was surprised himself. His voice is soft, his speech is slow, and it really can be hard to stay awake while he s talking. Imagine him giving a State of the Union address!To see the whole video, especially the spectacular ending after Carson s eulogy, watch below:Take a moment to say your g byes to these GOP candidates. ? https://t.co/6O70bl9zV8  AJ+ (@ajplus) May 7, 2016 Featured image via screen capture from embedded video",News,"May 7, 2016",Fake
 Mike Pence’s New DC Neighbors Are HILARIOUSLY Trolling Him For Being A Homophobic Bigot,"Mike Pence is a huge homophobe. He supports ex-gay conversion therapy, opposes hate crimes protections for LGBTQ people, is staunchly against marriage equality, and once said that he believes that same-sex couples will lead to  societal collapse.  To that end, the folks who are being forced to live near the now- vice president-elect near his newly rented house in Washington, DC are none too happy with their new neighbor. However, instead of protesting him with rallies in the streets, they ve decided to troll him instead.The residents in the Chevy Chase neighborhood are hanging large rainbow flags on their homes to send a signal to Mike Pence   that his homophobia is not welcome in their neck of the wood. According to local station WJLA: A respectful message showing, in my case, my disagreement with some of his thinking,  said Ilse Heintzen.The  he  Heintzen is referring to is Vice-President Elect Mike Pence. Pence moved into a house on Heintzen s block where he will stay on-and-off until he moves into the Vice-President s mansion on the grounds of the Naval Observatory next year.Neighbors started hanging the pride flags after the VP-Elect moved in because the LGBTQ community has criticized Pence s policies regarding LGBTQ rights.Here are a couple images of the collective rainbow F-YOU to Pence, via Twitter:#Pride flags sending message to @mike_pence outside temporary #DC home. Neighbors say more are coming. @NewsChannel8 @ABC7News #LGBTQ #LGBT pic.twitter.com/a2bfKfJ0yL  Tim Barber (@ABC7TimBarber) December 1, 2016Residents on NW Washington Street where VP Elect Pence is renting a house are sending him a symbolic message. More residents may hang flags pic.twitter.com/fldYsMoP6i  Suzanne Kennedy (@ABC7Suzanne) November 30, 2016There are more flags to come, too, according to locals. These people are doing a great thing by letting Pence know that his bigotry is not welcome, and that he d best not attempt to display it in their presence. On the other hand, this likely will cause another meltdown from Trump, who will undoubtedly accuse these people of  harassing  Pence for his bigoted views, just as happened with the Hamilton staff.Either way, this signals that there will be absolutely no tolerance for their bigotry, no matter how hard they push. Hopefully, their heads explode on this one before they even take office.Featured image via Chip Somodevilla/Getty Images",News,"December 3, 2016",Fake
California AG pledges to defend birth control insurance coverage,"SAN FRANCISCO (Reuters) - California Attorney General Xavier Becerra said on Friday he was “prepared to take whatever action it takes” to defend the Obamacare mandate that health insurers provide birth control, now that the Trump administration has moved to circumvent it. The administration’s new contraception exemptions “are another example of the Trump administration trampling on people’s rights, but in this case only women,” Becerra told Reuters.  Becerra and other Democratic attorneys general have filed courtroom challenges to other Trump administration policies involving healthcare, immigration and the environment.  ",politicsNews,"October 6, 2017 ",True
AZ RANCHERS Living On US-Mexico Border Destroy Nancy Pelosi’s Claim About Trump Being “Weak” For Wanting Border Wall [VIDEO],"Twisted reasoning is all that comes from Pelosi these days especially when in 2006 most prominent Democrats voted to build a barrier at the border.Fred Davis and John Ladd are two Arizona ranchers who were guests on Fox and Friends this morning. As ranchers who are living and making a living on our US-Mexico border, they had a very different story to tell viewers. While laughing at claims made by Democrat House minority leader Nancy Pelosi, Ladd and Davis talked about how ridiculous her claims were and what the benefits of a real wall on our borders would mean to the actual residents living in the nightmare of illegal immigration.John Ladd was asked if he ever invited Pelosi to the border and he responded to Fox and Friends host Steve Doocy by saying,  Yes, but she never responded. ",politics,"Apr 25, 2017",Fake
"As private lawyer, Trump high court pick was friend to business","WASHINGTON (Reuters) - As a lawyer in private practice for a decade, President Donald Trump’s U.S. Supreme Court nominee Neil Gorsuch often fought on behalf of business interests, including efforts to curb securities class action lawsuits, experience that could mould his thinking if he is confirmed as a justice. Gorsuch, a conservative federal appeals court judge from Colorado nominated by wealthy businessman Trump on Tuesday, could turn out to be a friend to business, having represented the U.S. Chamber of Commerce in fending off securities class actions, one of the most hotly contested areas of corporate law. The chamber is the largest U.S. business lobbying group. If confirmed, Gorsuch would be one of the only current justices with extensive experience on business issues in private practice.  Securities class action lawsuits are filed by investors who allege misconduct by a company whose stock price has tanked, hurting investors’ portfolios. These once-common lawsuits now face higher hurdles and are filed less often. Congress passed laws in 1995 and 1998 making it harder to bring securities class actions. Later court rulings, including one in which Gorsuch was involved, clarified the requirements under the laws. From 1995 to 2005, Gorsuch worked at boutique law firm Kellogg, Huber, Hansen, Todd, Evans & Figel in Washington, becoming a partner in 1998. He had a wide range of clients, including individuals and nonprofits, as well as various business interests. While there, he filed two briefs on behalf of the Chamber of Commerce seeking limits to securities class actions. One of Gorsuch’s briefs came in a securities fraud case called Dura Pharmaceuticals v. Broudo. The Supreme Court in 2005 ruled unanimously for the company, but did not issue the kind of broad ruling Gorsuch had sought, said Patrick Coughlin, the lawyer who argued the case on behalf of the investors who sued. Of Gorsuch’s role, Coughlin said representing the Chamber of Commerce is the epitome of corporate defense work for a lawyer. “The chamber had always been against us,” Coughlin said, referring to class action lawyers. “He’d always been on the other side of what we were doing, so it was not surprising he was selected by Trump.” Prior to the ruling, Gorsuch co-wrote an article in the Legal Times trade publication for lawyers in which he described some securities class actions as a “free ride to fast riches” for plaintiffs’ lawyers. He said the Dura case was a chance for the court to “curb frivolous fraud claims” in which plaintiffs cannot prove a stock price drop was caused by misrepresentations by a company. Gorsuch’s background promises to be valuable on the Supreme Court, which hears a significant number of business disputes among the roughly 70 cases considered each annual term.  Businesses have been trying with mixed success to get the Supreme Court to put new curbs on class action litigation beyond the securities context. Class actions can lead to huge jury awards against companies and is harder to defend against than lawsuits brought by individuals. If confirmed by the U.S. Senate in time, Gorsuch could play an immediate role in a major case on whether companies can head off costly class action lawsuits by forcing employees to give up their right to pursue work-related legal claims in court as a group. Paul Bland, executive director of consumer advocacy group Public Justice, said he hoped Gorsuch, if confirmed, would see that “most of what he saw as meritless cases in 2005 have been weeded out, and that the vast majority of the cases that remain raise substantial issues that protect investors.” Chamber of Commerce official Tom Collamore joined Trump at the White House on Wednesday for a meeting with advocacy groups touting Gorsuch’s pick, calling it “a fantastic nomination.” The chamber declined comment on Gorsuch’s work for the group. In a statement issued after the nomination was announced, chamber President Tom Donohue congratulated Trump on the selection. When Democratic President Barack Obama last March nominated appeals court judge Merrick Garland to fill the same vacant seat on the court, there was no press release from the chamber. Senate Republicans refused to act on Garland’s nomination, a move that paved the way for Trump to nominate Gorsuch to replace fellow conservative Antonin Scalia, who died in February 2016. Describing his career in private practice, Gorsuch said in his Senate questionnaire prior to his appointment by Republican President George W. Bush to the Denver-based 10th U.S. Circuit Court of Appeals in 2006 that he was “involved in matters large and small for clients ranging from individuals to nonprofits to corporations,” on such issues as racketeering, securities fraud and antitrust.  His former Washington law firm stressed in a statement that Gorsuch had a “wide variety” of clients and cited a case in which he represented people who had been targeted over payday loans. David Frederick, a lawyer at the firm, called Gorsuch “a dogged, very determined lawyer.” “He’s the kind of lawyer you would want to have representing you,” Frederick said. After leaving the firm, but before becoming a judge, he spent just over a year in Bush’s Justice Department. One of his roles was overseeing antitrust litigation involving the government. ",politicsNews,"February 1, 2017 ",True
Yemeni Salafist imam killed in Aden: sources,"ADEN (Reuters) - A Salafist imam was shot dead by gunmen early on Saturday in Aden, southern Yemen, witnesses and local officials said, the third killing of a Salafist imam this month. Sheikh Adel Al Shehri, imam of a mosque in Inmaa district west of Aden, was shot while he was heading to the mosque for morning prayers. No one has claimed responsibility for the three killings and no motive has been made clear, but some of the ultra-conservative Salafists back secession for southern Yemen, and have been a major component of the breakaway southern army. A former Aden governor has declared a council that seeks secession for southern Yemen. A referendum on independence would be announced soon, he said. Aden is also dominated by local forces backed by the United Arab Emirates - a key member of the Saudi-led coalition that intervened in Yemen s civil war in 2015 to restore President Abd-Rabbu Mansour Hadi to power but which are hostile toward Islamists. ",worldnews,"October 28, 2017 ",True
FBI says witnesses in U.S. probe into Malaysia's 1MDB fear for safety,"KUALA LUMPUR (Reuters) - Potential witnesses to the multi-billion dollar scandal at 1Malaysia Development Berhad (1MDB) are afraid to speak with U.S. investigators as they fear for their safety, the Federal Bureau of Investigation says. A total of $4.5 billion was misappropriated from 1MDB by high-level officials of the fund and their associates, according to dozens of civil lawsuits filed by the U.S Justice Department in the past two years. 1MDB is at the center of money-laundering probes in at least six countries, including the United States, Switzerland and Singapore. Malaysian Prime Minister Najib Razak set up 1MDB in 2009 and served as chairman of its advisory board until last year. He has denied any wrongdoing. The Prime Minister s office and 1MDB did not immediately respond to a request for comment on the FBI claims. In a federal court filing in Los Angeles, the FBI requested that the names of its informants in the case be kept secret, after many expressed concerns of retaliation if they were found to have been in contact with the U.S. government. Individuals otherwise willing to provide information on the case have also told investigators that they were afraid that they would  place the safety and security of both themselves and their families at serious risk , according to a declaration in the filing by FBI agent special agent Robert Heuchling. The agent said identifying witnesses could result in intimidation or threaten their safety, citing Malaysian news reports of local officials and politicians who have been arrested for purportedly disclosing information linked to 1MDB. The agent cited Malaysian press reports from Aug 30 that said the driver of former Malaysian Attorney-General Abdul Gani Patail was shot in public as a possible warning against assisting the U.S government in the case. Abdul Gani had led investigations on 1MDB until he was replaced in 2015. Last month, the U.S. Justice Department asked for a stay on its civil lawsuits seeking to seize more than $1 billion in assets allegedly bought with stolen 1MDB funds because it was conducting a related criminal probe. The lawsuits filed by the department allege that the funds were stolen in four phases. The lawsuits say those involved included Malaysian financier Low Taek Jho, also known as Jho Low, Najib s stepson Riza Aziz, and Khadem al Qubaisi, the former managing director of Abu Dhabi s International Petroleum Investment Co. The trusts holding the assets on behalf of Low, Aziz, al Qubaisi and their families have opposed the request to put the civil proceedings on hold. The Low trusts have asked the United States to provide the identities of witnesses, sources of evidence, and thousands of documents that are relevant to the criminal investigation, the FBI said. The Justice Department has sought to seize a total of about $1.7 billion in assets that it said were bought with misappropriated 1MDB funds. The lawsuits also claim that $681 million in 1MDB funds found its way into the personal accounts of so-called Malaysian Official 1, who Malaysian and U.S. officials have identified as Najib. He was cleared of any wrongdoing in a Malaysian investigation. Low did not immediately respond to a request for comment on the FBI filing and he has previously denied any wrongdoing in the 1MDB case, saying that the Justice Department s actions were  a further example of global overreach in pursuit of a deeply flawed case.  ",worldnews,"September 6, 2017 ",True
An Easy To Read Chart Shows How Bernie Sanders’ Socialism Is Just A Stepping Stone To Communism," The goal of socialism is communism.  -Vladimir Lenin, CommunistFor Bernie Sanders, Socialism is just a good place to start ",politics,"Feb 24, 2016",Fake
MMA FIGHTER JAKE SHIELDS Embarrasses Cowards In Masks For Violent 20-on-1 Beating of Trump Supporter [VIDEO]: “I was in Berkeley and watched a man getting beat by a mob with no police help…I was the only person to jump in and help”,"Opposing views and beliefs has much of this country in a heated feud. With Donald Trump being recently inaugurated as the 45th President of the United States of America, citizens have been going to war with one another with their polar points of view.On Wednesday, Milo Yiannopoulos, a strong right-wing social figure, was scheduled to speak at UC Berkeley. However, protests that grew into violence between members of opposing sides broke out causing Yiannopoulos  speech to be canceled.In the midst of the violence being carried out in the area, Jake Shields was present and apparently helped a man from being severely beaten.  BjPennWatch MMA fighter Jason Shields embarrass the cowards with their faces covered who were part of the mob of 20 men from a domestic terror group, that identifies with an anti-fascist movement, severely beating an innocent man attending Milo Yiannopoulos  speech.Following Shield s brave act that could have saved the life of an innocent man being attacked by 20 cowards, one of the  anti-fascists  involved in beating walks up to Shields to ask if he s okay?Shields tells the cowards in the masks:  There s no f*cking reason (to have beaten this man). Dude, you guys have your faces covered, you re attacking people, you re being f**king fascists. Look at you guys. You re f*cking embarrassing. You don t let 20 people jump a man. It s not okay! The coward in the mask answers: There s a f*cking Nazi thing at the University, that why everybody s here. Shields responds:  What Nazi thing? Who s a Nazi? The Jew guy that was speaking? The gay Jew? Coward in mask responds:  He s not a Jew, he s Greek! what exactly did he say? Every kept saying he's a nazi but know knew why. They call everyone with a different opinion a nazi  Jake Shields (@jakeshieldsajj) February 2, 2017The idiocy of these violent people just looking for a fight can pretty much be summed up with that one completely uneducated sentence. These freaks are apparently there protesting a  Nazi,  yet have no idea what a Nazi is or that when you say someone is  Jewish,  you are speaking about their religion and not their nationality.Watch:The aftermath of me helping a guy after being jumped by thugs. The police and 100's of civilians stood and watched. pic.twitter.com/7hN2iJ4kkf  Jake Shields (@jakeshieldsajj) February 2, 2017I was in Berkeley and watched a man getting beat by a mob with no police help. I was the only person to jump in and help  Jake Shields (@jakeshieldsajj) February 2, 2017Shields tweeted,  it was sad to watch 20 people beat a man with no one helping. it was sad to watching 20 people beat a man with no one helping  Jake Shields (@jakeshieldsajj) February 2, 2017",politics,"Feb 4, 2017",Fake
